256.557, 130.109, 8.353, 11.936 False
256.279, 130.096, 8.352, 11.969 False
256.001, 130.082, 8.352, 12.002 False
255.723, 130.069, 8.352, 12.035 False
255.445, 130.055, 8.351, 12.068 False
255.167, 130.042, 8.351, 12.101 False
254.888, 130.028, 8.350, 12.134 False
254.610, 130.015, 8.350, 12.167 False
254.332, 130.002, 8.349, 12.200 False
254.054, 129.988, 8.349, 12.233 False
253.777, 129.975, 8.349, 12.266 False
253.499, 129.962, 8.348, 12.299 False
253.221, 129.949, 8.348, 12.332 False
252.943, 129.935, 8.347, 12.365 False
252.665, 129.922, 8.347, 12.398 False
252.387, 129.909, 8.347, 12.431 False
252.109, 129.896, 8.346, 12.464 False
251.831, 129.883, 8.346, 12.497 False
251.553, 129.871, 8.346, 12.530 False
251.275, 129.858, 8.345, 12.563 False
250.997, 129.846, 8.345, 12.596 False
250.719, 129.833, 8.345, 12.629 False
250.441, 129.821, 8.344, 12.662 False
250.164, 129.809, 8.344, 12.695 False
249.886, 129.796, 8.344, 12.728 False
249.608, 129.784, 8.344, 12.761 False
249.330, 129.772, 8.343, 12.794 False
249.052, 129.760, 8.343, 12.827 False
248.774, 129.748, 8.343, 12.860 False
248.497, 129.736, 8.343, 12.893 False
248.219, 129.725, 8.342, 12.926 False
247.941, 129.713, 8.342, 12.959 False
247.663, 129.701, 8.342, 12.992 False
247.385, 129.690, 8.342, 13.025 False
247.107, 129.679, 8.342, 13.058 False
246.830, 129.667, 8.341, 13.091 False
246.552, 129.656, 8.341, 13.124 False
246.274, 129.645, 8.341, 13.157 False
245.996, 129.634, 8.341, 13.190 False
245.718, 129.624, 8.340, 13.223 False
245.440, 129.613, 8.340, 13.256 False
245.163, 129.603, 8.340, 13.289 False
244.885, 129.592, 8.340, 13.322 False
244.607, 129.582, 8.340, 13.355 False
244.329, 129.572, 8.340, 13.388 False
244.051, 129.563, 8.339, 13.421 False
243.774, 129.553, 8.339, 13.454 False
243.496, 129.543, 8.339, 13.487 False
243.218, 129.534, 8.339, 13.520 False
242.940, 129.524, 8.339, 13.553 False
242.662, 129.515, 8.339, 13.586 False
242.385, 129.506, 8.339, 13.619 False
242.107, 129.497, 8.338, 13.652 False
241.829, 129.488, 8.338, 13.685 False
241.551, 129.479, 8.338, 13.718 False
241.273, 129.470, 8.338, 13.751 False
240.995, 129.462, 8.338, 13.784 False
240.718, 129.453, 8.338, 13.817 False
240.440, 129.445, 8.338, 13.850 False
240.162, 129.437, 8.338, 13.883 False
239.884, 129.428, 8.337, 13.916 False
239.606, 129.420, 8.337, 13.949 False
239.329, 129.412, 8.337, 13.982 False
